41.2s 24.96 Mbps
41.4s 25.02 Mbps
41.6s 19.26 Mbps
41.8s 1.14 Mbps
42s 21.78 Mbps
42.2s 25.02 Mbps
42.4s 25.26 Mbps
42.6s 25.62 Mbps
42.8s 24.84 Mbps
43s 25.26 Mbps
43.2s 25.14 Mbps
43.4s 25.14 Mbps
43.6s 25.74 Mbps
43.8s 24.54 Mbps
44s 25.14 Mbps
44.2s 25.08 Mbps
44.4s 25.14 Mbps
44.6s 25.92 Mbps
44.8s 24.24 Mbps
45s 25.08 Mbps
45.2s 25.08 Mbps
45.4s 25.08 Mbps
45.6s 26.16 Mbps
45.8s 23.94 Mbps
46s 25.08 Mbps
46.2s 25.02 Mbps
46.4s 25.08 Mbps
46.6s 26.28 Mbps
46.8s 23.76 Mbps
47s 24.96 Mbps
47.2s 25.08 Mbps
47.4s 24.9 Mbps
47.6s 25.92 Mbps
47.8s 24 Mbps
48s 24.96 Mbps
48.2s 25.02 Mbps
48.4s 24.9 Mbps
48.6s 25.68 Mbps
48.8s 24.3 Mbps
49s 24.9 Mbps
49.2s 25.08 Mbps
49.4s 24.9 Mbps
49.6s 25.44 Mbps
49.8s 24.54 Mbps
50s 24.9 Mbps
50.2s 25.2 Mbps
50.4s 24.78 Mbps
50.6s 25.14 Mbps
50.8s 24.78 Mbps
51s 24.96 Mbps
51.2s 25.44 Mbps
51.4s 24.48 Mbps
51.6s 24.96 Mbps
51.8s 25.02 Mbps
52s 19.68 Mbps
52.2s 1.14 Mbps
52.4s 21.48 Mbps
52.6s 24.84 Mbps
52.8s 25.32 Mbps
53s 25.5 Mbps
53.2s 24.96 Mbps
53.4s 25.38 Mbps
53.6s 25.02 Mbps
53.8s 25.14 Mbps
54s 25.68 Mbps
54.2s 24.6 Mbps
54.4s 25.14 Mbps
54.6s 25.08 Mbps
54.8s 25.14 Mbps
55s 25.86 Mbps
55.2s 24.3 Mbps
55.4s 25.08 Mbps
55.6s 25.08 Mbps
55.8s 25.08 Mbps
56s 26.04 Mbps
56.2s 24.06 Mbps
56.4s 25.08 Mbps
56.6s 25.02 Mbps
56.8s 25.08 Mbps
57s 26.28 Mbps
57.2s 23.76 Mbps
57.4s 24.96 Mbps
57.6s 25.08 Mbps
57.8s 24.9 Mbps
58s 25.98 Mbps
58.2s 23.94 Mbps
58.4s 24.96 Mbps
58.6s 25.02 Mbps
58.8s 24.9 Mbps
59s 25.8 Mbps
59.2s 24.18 Mbps
59.4s 24.9 Mbps
59.6s 25.08 Mbps
59.8s 24.9 Mbps
60s 25.5 Mbps
60.2s 24.48 Mbps
60.4s 24.9 Mbps
60.6s 25.08 Mbps
60.8s 24.9 Mbps
61s 25.26 Mbps
61.2s 24.66 Mbps
61.4s 24.96 Mbps
61.6s 25.32 Mbps
61.8s 24.6 Mbps
62s 25.02 Mbps
62.2s 24.96 Mbps
62.4s 19.86 Mbps
62.6s 1.14 Mbps
62.8s 20.4 Mbps
63s 25.62 Mbps
63.2s 26.22 Mbps
63.4s 24.36 Mbps
63.6s 25.2 Mbps
63.8s 25.2 Mbps
64s 25.2 Mbps
64.2s 25.86 Mbps
64.4s 24.48 Mbps
64.6s 25.14 Mbps
64.8s 25.14 Mbps
